# Original ARM64 libgcam_ae.so 0x140bbc outputs; source: ArkCam deep audit native-math-checks.json
# tet,frequency,maxTime,maxGain,time,gain
1.01,0.0,100.0,16.0,1.0076773166656494,1.0023049116134644
1.01,0.0,30.0,6.0,1.0076773166656494,1.0023049116134644
1.01,100.0,100.0,16.0,1.0076773166656494,1.0023049116134644
1.01,100.0,30.0,6.0,1.0076773166656494,1.0023049116134644
1.01,120.0,100.0,16.0,1.0076773166656494,1.0023049116134644
1.01,120.0,30.0,6.0,1.0076773166656494,1.0023049116134644
1.2160443549391295,0.0,100.0,16.0,1.1622350215911865,1.0462981462478638
1.2160443549391295,0.0,30.0,6.0,1.1622350215911865,1.0462981462478638
1.2160443549391295,100.0,100.0,16.0,1.1622350215911865,1.0462981462478638
1.2160443549391295,100.0,30.0,6.0,1.1622350215911865,1.0462981462478638
1.2160443549391295,120.0,100.0,16.0,1.1622350215911865,1.0462981462478638
1.2160443549391295,120.0,30.0,6.0,1.1622350215911865,1.0462981462478638
1.4641226467122017,0.0,100.0,16.0,1.3404988050460815,1.0922222137451172
1.4641226467122017,0.0,30.0,6.0,1.3404988050460815,1.0922222137451172
1.4641226467122017,100.0,100.0,16.0,1.3404988050460815,1.0922222137451172
1.4641226467122017,100.0,30.0,6.0,1.3404988050460815,1.0922222137451172
1.4641226467122017,120.0,100.0,16.0,1.3404988050460815,1.0922222137451172
1.4641226467122017,120.0,30.0,6.0,1.3404988050460815,1.0922222137451172
1.762809979676149,0.0,100.0,16.0,1.5461047887802124,1.1401621103286743
1.762809979676149,0.0,30.0,6.0,1.5461047887802124,1.1401621103286743
1.762809979676149,100.0,100.0,16.0,1.5461047887802124,1.1401621103286743
1.762809979676149,100.0,30.0,6.0,1.5461047887802124,1.1401621103286743
1.762809979676149,120.0,100.0,16.0,1.5461047887802124,1.1401621103286743
1.762809979676149,120.0,30.0,6.0,1.5461047887802124,1.1401621103286743
2.122430816451032,0.0,100.0,16.0,1.7832465171813965,1.1902060508728027
2.122430816451032,0.0,30.0,6.0,1.7832465171813965,1.1902060508728027
2.122430816451032,100.0,100.0,16.0,1.7832465171813965,1.1902060508728027
2.122430816451032,100.0,30.0,6.0,1.7832465171813965,1.1902060508728027
2.122430816451032,120.0,100.0,16.0,1.7832465171813965,1.1902060508728027
2.122430816451032,120.0,30.0,6.0,1.7832465171813965,1.1902060508728027
2.5554158545486394,0.0,100.0,16.0,2.0567610263824463,1.2424465417861938
2.5554158545486394,0.0,30.0,6.0,2.0567610263824463,1.2424465417861938
